product_name,category,description,country,brand
Bisco Misr Maamoul,biscuit,cookies; date or nut filling biscuit,EG,Bisco Food Industries
Oreo Original Sandwich Cookies,biscuit,Chocolate sandwich cookies; vanilla cream center.,USA,Mondelez International
Fine Foods Chicken Broth Cubes,broth,Chicken bouillon cubes; concentrated flavor; 10-cube packs.,EG,Fine Foods
Maggi Chicken Broth Cubes,broth,Umami bouillon cubes; hydrolyzed vegetable protein; 12-cube boxes.,CH,Nestle
Americana Foul Medames Fava Beans,canned foods,Pre-cooked fava beans; spiced tomato sauce; 400g cans.,KW,Americana
Americana Hummus,canned foods,Chickpea dip; tahini and garlic blend; 300g cans.,KW,Americana
La Vache Qui Rit Original Spreadable Cheese,Cheeses,"Triangular cheese portions ,8-portion packs.",FR,La Vache Qui Rit
Kiri Cream Cheese Squares,Cheeses,Square spread cheese snacks; mild tangy taste; ,FR,Kiri
Domty Feta Cheese,Cheeses,"Traditional white cheese, available in classic, low-salt, and light variants.",EG,Domty
Domty Feta Cheese with Olives,Cheeses,Feta cheese infused with olive pieces for added flavor.,EG,Domty
Chipsy Salt Vinegar Flavor,Chips,Vinegar and salt chips; zesty tang; fresh potato base.,EG,PepsiCo
Chipsy Cheese Onion Flavor,Chips,Cheese and onion chips; creamy cheese blend; rich savory taste.,EG,PepsiCo
Cheetos Crunchy,Chips,"Cheddar cheese corn snacks; vibrant orange color; lasting crunch.
",USA,PepsiCo
Cheetos FlaminHot,Chips,Extremely spicy corn snacks; intense chili heat; addictive flavor.,USA,PepsiCo
GALAXY Smooth Milk Chocolate Bar,Chocolate,Creamy milk chocolate bar; cocoa butter base; skimmed milk powder; rectangular shape; purple foil packaging.,UK ,Galaxy
GALAXY Smooth Caramel Chocolate Bar ,Chocolate,Milk chocolate bar with caramel filling; creamy caramel center; golden-purple foil packaging.,UK ,Galaxy
Kinder Chocolate,Chocolate,Kinder Chocolate; milk chocolate with milky filling; smooth texture; no artificial colors.,IT ,Kinder
Kinder Joy,Chocolate,Kinder Joy; chocolate with surprise toy; crispy wafer layer; creamy milk filling.,IT ,Kinder
Kinder Bueno,Chocolate,Kinder Bueno; crunchy wafer bars; hazelnut filling; milk chocolate coating.,IT ,Kinder
Ferrero Raffaello Coconut Chocolate,Chocolate,Coconut-almond truffles; crispy wafer shell; white milk cream and almond center; resealable 150g gift box.,IT,Ferrero Raffaello
Ferrero Rocher Chocolate Box,Chocolate,Hazelnut chocolates; roasted hazelnut center; milk chocolate coating; gold gift sleeve packaging.,IT,Ferrero Rocher
Nutella Hazelnut Spread,Chocolate,Hazelnut cocoa spread; smooth texture; iconic glass jars (200g/400g/750g).,IT,Nutella
Quality Street Chocolate Assortment Tin,Chocolate,Assorted chocolate tin; milk/dark chocolates; toffees; fruit-flavored creams; decorative packaging.,UK,Quality Street
Galaxy Flutes Twin Fingers Chocolate,Chocolate,Crispy wafer fingers; milk chocolate coating; vanilla cream filling; 11.25g/22.5g twin-roll packs.,UK,Galaxy
Moro Chocolate Bar,Chocolate,Caramel-nougat chocolate bar; whipped nougat layers.,UK,Cadbury
Milka Alpine Milk Chocolate,Chocolate,"Milka Alpine Milk Chocolate is crafted from 100% Alpine milk, offering a rich and creamy taste. The ingredients include sugar, cocoa butter, skimmed milk powder, whey powder, milk fat, hazelnut paste, emulsifier (soy lecithin), and flavoring. This combination results in a smooth, melt-in-your-mouth experience.",DE,Mondelez International
Milka Oreo Chocolate,Chocolate,Milka Alpine Milk Chocolate; 100% Alpine milk; creamy melt-in-mouth texture.,DE,Mondelez International
Cadbury Dairy Milk Classic,Chocolate,Cadbury Dairy Milk Classic; rich creamy milk chocolate; iconic purple packaging.,UK,Mondelez International
Cadbury Dairy Milk Hazelnut,Chocolate,Cadbury Dairy Milk Hazelnut; whole hazelnut crunch; textured experience.,UK,Mondelez International
KitKat Chunky Crunchy ,Chocolate,"Crispy cocoa wafer topped with chocolate spread, wrapped in smooth milk chocolate.",UK,Nestle
KitKat  Finger Milk Chocolate Bar,Chocolate,Classic milk chocolate coating over a crispy wafer 60–80mg caffeine.,Various regions,Nestle
NESCAFE Classic Instant Coffee,Coffee, instant coffee; 60–80mg caffeine per serving; 50g/200g jars.,CH,Nestle
NESCAFE 3-in-1 Coffee Mix,Coffee,Premixed coffee sachets; sugar and creamer; 50mg caffeine per serving; 20-stick packs.,CH,Nestle
Danone Classic Plain Yogurt,Dairy,"Plain probiotic yogurt; live active cultures (L. bulgaricus, S. thermophilus); vitamin D fortified; 150g/500g cups.",FR,Danone Group
Domty Full Cream Milk,Dairy,Rich and creamy milk.,EG,Domty
Domty Half Cream Milk,Dairy,Milk with reduced fat content.,EG,Domty
Domty Skimmed Milk,Dairy,Milk with minimal fat content.,EG,Domty
Axe Apollo Anti-Perspirant Roll-On,deodorant,48-hour anti-perspirant roll-on; aluminum chlorohydrate; citrus-woody scent; non-sticky formula; 50ml blue bottles for men,NL,Unilever
Rexona Women Cotton Dry Roll-On,deodorant,48-hour antiperspirant roll-on for women; aluminum zirconium tetrachlorohydrex GLY; light floral fragrance; non-staining; 50ml pink bottles.,UK,Unilever
Pril Lemon Dishwashing Liquid,Dishwashing,Lemon dishwashing liquid; biodegradable formula; aloe vera extract; 500ml/1L bottles.,DE,Henkel
Dettol Antibacterial Dishwashing Liquid,Dishwashing,Antibacterial dish soap; 99.9% germ kill; lemon fragrance; green bottles,UK,Reckitt Benckiser
Sting Energy Drink,Energy Drink,Tropical energy drink; caffeine and taurine; B-vitamins; 250ml/500ml cans.,USA,PepsiCo
Dolce Chocolate,Ice Cream,Chocolate ice cream; cocoa flakes; 500ml tubs or cones.,IN,D F Food Products
Twix Classic,Ice Cream,Caramel cookie ice cream bars; Twix-inspired; single bars.,USA,Mars
Rani Pineapple Juice,juices,Canned pineapple juice; low sugar; apple puree blend; 1L cans.,SA,Rani
Tang Orange Powder,juices,"Citrus powdered drink; vitamin C fortified; artificial colors (Yellow 5, 6); 23g sugar per serving.",USA,Tang
Tang Mango Powder,juices,Mango-flavored drink mix; added calcium and vitamin C; 250g resealable packs.,USA,Tang
Tropicana Pure Premium Orange,juices,Not-from-concentrate orange juice; vitamin D and calcium; no added sugar; 1L chilled cartons.,USA,Tropicana
Tropicana Apple Juice,juices,Clear apple juice; reconstituted concentrate; natural apple flavor; 1L tetra packs.,USA,Tropicana
Heinz Tomato Ketchup,ketchup,Classic tomato ketchup; sweet-tangy flavor; iconic glass bottles.,USA,Heinz Company
Kellogges Vegetables Flavour Instant Noodles,Pasta,Mixed vegetable noodles; mild seasoning; dehydrated carrots and onions.,USA,Kellogges
Kellogges Chicken Flavour Instant Noodles,Pasta,Chicken-flavored noodles; light broth; turmeric seasoning.,USA,Kellogges
Cerelac Wheat & 3 Fruits with Milk,powdered milk,Infant cereal; iron and probiotics; 6–12 months; 400g box.,CH,Nestle
Nido Full Cream Milk Powder,powdered milk,Full-cream milk powder; calcium and vitamins; 900g resealable pouches.,CH,Nestle
Clear Scalp Care Anti-Dandruff Shampoo,Shampoos,Anti-dandruff shampoo; zinc pyrithione; coconut oil; 200ml/400ml bottles.,UK,Unilever
Head & Shoulders Classic Clean Shampoo,Shampoos,Classic anti-dandruff shampoo with a clean scent.,USA,Procter & Gamble
Mirinda Orange,soft drinks,Orange soda; carbonated with high levels of fructose.,USA,PepsiCo
Sprite Lemon-Lime,soft drinks,Lemon-lime soda; caffeine-free; sodium citrate,USA,Coca-Cola
Fanta Orange,soft drinks,Orange soda; with good taste.,USA,Coca-Cola
Coca-Cola Classic,soft drinks,"Cola taste, color like caramel",USA,Coca-Cola
Pepsi,soft drinks,"Cola flavor, caramel color, caffeine-free",USA,PepsiCo
Fayrouz Apple,soft drinks,Apple malt beverage; non-alcoholic; natural essence,UAE,PepsiCo
Lipton Yellow Label Black Tea,tea,Black tea bags; Assam and Ceylon blend; 40–50mg caffeine per cup; 25/50-bag boxes.,UK,Unilever
Baraka Natural Mineral Water,Water,"Sourced from natural springs, this water offers a balanced mineral composition, delivering a cool and refreshing taste.",CH,Nestle
Aquafina,Water,"Undergoing advanced purification processes, this water ensures exceptional clarity and a clean taste, ideal for daily consumption.",USA,PepsiCo
Dasani,Water,"Infused with essential minerals like magnesium sulfate and potassium bicarbonate, this water offers a revitalizing taste with wellness benefits.",USA,Coca-Cola
Nestle Pure Life Water,Water,"Sourced from deep wells, this water is naturally filtered and rich in minerals, offering a pure and refreshing taste.",CH,Nestle
