product_name,category,description,country,brand
Corona Bimbo Hazelnut Cream Chocolate,10,chocolate bar hazelnut cream fill cookies,EG,Corona
Dark Chocolate Digestives,10,digestive biscuits top layer dark chocolate cookies,EG,McVitie's
Original Digestives,10,whole wheat biscuits lightly sweet crumbly texture,EG,McVitie's
Weals Bulk Chicken Stock,11,bulk chicken stock suitable commercial kitchens large scale cook,EG,Weals Food
AMR Chickpeas,12,versatile legumes perfect hummus salads stew,EG,Egypt
AMR Fava Beans,0,traditional egyptian dish ready heat serve,EG,Egypt
Cheddar Flavored Spread 500g,1,cheddar cheese flavor spread smooth consistency,EG,Dina Farms
Feta Cheese with Cheddar Flavor,1,feta cheese enhance cheddar flavor,EG,Obour Land
Triangular Cheese,1,cheese triangular individually wrap,EG,Dina Farms
Big Chips Salt and Vinegar,13,potato chip vinegar balance touch salt,EG,"Tart, Salty"
Big Chips Spiced Cheese,13,potato chip cheese coat,EG,"Spicy, Cheesy"
Corona Chocolate Coated Wafer,2,crispy wafer coat chocolate,EG,Corona
Corona Dark Chocolate,2,smooth dark chocolate milk add,EG,Corona
Corona Milk Chocolate,2,creamy milk chocolate bar,EG,Corona
Katakito Chocolate with Crispy Wafer,2,milk chocolate crispy wafer layer,EG,Katakit
Maxtella Chocolate Hazelnut Spread,2,smooth cocoa spread hazelnut flavor,EG,Maxtella
Tiffany Break Wafer Fingers,2,crunchy wafer finger coat creamy milk chocolate,EG,Tiffany
Misr Cafe Instant Coffee,14,pure instant coffee medium roast,EG,"Bold, traditional"
Dina Full Cream Milk,3,pasteurize whole milk creamy texture,EG,Dina Farms
Greek Style Yogurt,3,thick creamy yogurt make fresh cow milk rich protein calcium,EG,Almarai
Lamar 0 percent Fat Milk,3,fat milk add powder preservatives available l tetra pack,EG,Lamar
Lamar Full Cream Milk,3,pure cow milk add powder preservatives available ml ml l tetra pack,EG,Lamar
Eva Skin Care Natural Glow Lightening Roll-On,15,hour protection alcohol free paraben free enrich cucumber wild berry aloe vera brighten antiperspirant women,EG,"Aluminum-free, alcohol-free, paraben-free"
Vebix Blue Active Men Deodorant Roll-On,15,hour sweat odor protection dermatologically test citrus woody fragrance antiperspirant ml blue bottle men,EG,Aluminum chlorohydrate
Feba Dishwashing Liquid,4,dish wash lemon scent fresh aroma,EG,Feba
Volt Blue Energy,5,blueberry flavor variant mg caffeine mg taurine guarana extract offer mild sweetness reminiscent blueberry soda,EG,AJE Group
Friday Ice Cream Chocolate,6,chocolate classic ice cream bar,EG,"Chocolate, Vanilla, Others"
Almarai Mango Juice,16,mango juice available various pack size,EG,Almarai
Almarai Orange Juice,16,orange juice available various pack size,EG,Almarai
Lamar Mango Juice,16,mango juice add sugar preservatives available ml tetra pack,EG,Lamar
Lamar Orange Juice,16,orange juice add sugar preservatives available ml tetra pack,EG,Lamar
Durra Tomato Ketchup Sweet,7,sweet flavor tomato ketchup ideal sandwich burgers fry available g g size,EG,Durra
Indomie Chicken Flavour,17,classic chicken flavor instant noodles broth,EG,Indomie
Indomie Vegetable Flavour,17,vegetable flavor instant noodles light broth,EG,Indomie
Milk Powder,18,full cream milk powder fortify essential nutrients,EG,Almarai
Eva Aloe Vera & Argan Oil Strengthening Shampoo,8,contain aloe vera argan oil strengthen hydrate hair,EG,Eva
Selengena Anti Dandruff Shampoo,8,anti dandruff shampoo contain selenium sulfide piroctone olamine jojoba oil fight dandruff moisturize hair,EG,Selengena
Apple Soda,19,carbonate soda fresh apple beverage non alcoholic natural essence,EG,Spiro Spathis
Lemon Soda,19,lemon lime soda caffeine free sodium citrate,EG,Spiro Spathis
MaxiCola,19,cola flavor caramel color caffeine free,EG,Maxicola
BIG Cola,20,cola taste color like caramel,EG,BIG Cola
BIG Orange,20,orange soda carbonate high fructose corn syrup,EG,BIG Cola
English Breakfast,21,tea bag full body blend combine assam ceylon kenyan teas mg caffeine per cup,EG,Ahmad Tea
Kabous,21,tea bag elegant blend subtle hint bergamot craft refine palates bag box,EG,Kabous
Aqua Delta water,9,infuse essential minerals like magnesium sulfate potassium bicarbonate water offer revitalize taste health benefit,EG,Hayat
Elano water,9,source deep well water naturally filter rich minerals offer clean refresh taste,EG,Elano
Hayat water,9,source natural spring water offer balance mineral composition deliver crisp refresh taste,EG,Hayat
Lavie water,9,undergo advance purification process water ensure exceptional clarity neutral taste ideal daily consumption,EG,Lavie
